eps_r	100000000.0	mu_r	1.0	sigma	0.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
1.000000000e+07	5.422848430e-02
1.130000000e+07	8.787573440e-02
1.260000000e+07	1.356512871e-01
1.390000000e+07	2.005038714e-01
1.520000000e+07	2.870695512e-01
1.650000000e+07	3.947257632e-01
1.780000000e+07	5.340124861e-01
1.910000000e+07	7.028511041e-01
2.040000000e+07	9.066267263e-01
2.170000000e+07	1.154746254e+00
2.300000000e+07	1.446882215e+00
2.430000000e+07	1.786220864e+00
2.560000000e+07	2.172250528e+00
2.690000000e+07	2.612946931e+00
2.820000000e+07	3.110426969e+00
2.950000000e+07	3.665183566e+00
3.080000000e+07	4.248053844e+00
3.210000000e+07	4.906139299e+00
3.340000000e+07	5.565324781e+00
3.470000000e+07	6.257039577e+00
3.600000000e+07	6.972753412e+00
3.730000000e+07	7.693547149e+00
3.860000000e+07	8.385691051e+00
3.990000000e+07	9.035379165e+00
4.120000000e+07	9.633095137e+00
4.250000000e+07	1.018739500e+01
4.380000000e+07	1.066053669e+01
4.510000000e+07	1.099784584e+01
4.640000000e+07	1.130425969e+01
4.770000000e+07	1.142985705e+01
4.900000000e+07	1.147449204e+01
5.030000000e+07	1.142867418e+01
5.160000000e+07	1.130084530e+01
5.290000000e+07	1.106564505e+01
5.420000000e+07	1.074502718e+01
5.550000000e+07	1.035128286e+01
5.680000000e+07	9.924886934e+00
5.810000000e+07	9.448652765e+00
5.940000000e+07	8.882866380e+00
6.070000000e+07	8.338062791e+00
6.200000000e+07	7.724523108e+00
6.330000000e+07	7.107481700e+00
6.460000000e+07	6.491377603e+00
6.590000000e+07	5.884137412e+00
6.720000000e+07	5.275231528e+00
6.850000000e+07	4.676193865e+00
6.980000000e+07	4.100175596e+00
7.110000000e+07	3.568356533e+00
7.240000000e+07	3.098729780e+00
7.370000000e+07	2.592017739e+00
7.500000000e+07	2.182754362e+00
7.630000000e+07	1.811941727e+00
7.760000000e+07	1.497947044e+00
7.890000000e+07	1.252291659e+00
8.020000000e+07	1.070862812e+00
8.150000000e+07	9.538696694e-01
8.280000000e+07	8.987254726e-01
8.410000000e+07	9.135925679e-01
8.540000000e+07	9.912698074e-01
8.670000000e+07	1.182276764e+00
8.800000000e+07	1.323304936e+00
8.930000000e+07	1.564056603e+00
9.060000000e+07	1.853463370e+00
9.190000000e+07	2.179334967e+00
9.320000000e+07	2.530198659e+00
9.450000000e+07	2.897039034e+00
9.580000000e+07	3.276318779e+00
9.710000000e+07	3.665909929e+00
9.840000000e+07	4.047729179e+00
9.970000000e+07	4.403778836e+00
1.010000000e+08	4.847585709e+00
1.023000000e+08	5.070009119e+00
1.036000000e+08	5.347328323e+00
1.049000000e+08	5.597796705e+00
1.062000000e+08	5.815424471e+00
1.075000000e+08	5.976362376e+00
1.088000000e+08	6.089192659e+00
1.101000000e+08	6.155808681e+00
1.114000000e+08	6.191835015e+00
1.127000000e+08	6.174883461e+00
1.140000000e+08	6.094908966e+00
1.153000000e+08	6.039853465e+00
1.166000000e+08	5.836242632e+00
1.179000000e+08	5.636554988e+00
1.192000000e+08	5.414626162e+00
1.205000000e+08	5.170845754e+00
1.218000000e+08	4.891161167e+00
1.231000000e+08	4.587430755e+00
1.244000000e+08	4.274091998e+00
1.257000000e+08	3.968324933e+00
1.270000000e+08	3.664565642e+00
1.283000000e+08	3.332970186e+00
1.296000000e+08	3.059471256e+00
1.309000000e+08	2.754612916e+00
1.322000000e+08	2.482020141e+00
1.335000000e+08	2.252290290e+00
1.348000000e+08	2.055462353e+00
1.361000000e+08	1.887303203e+00
1.374000000e+08	1.747234035e+00
1.387000000e+08	1.652753184e+00
1.400000000e+08	1.606456132e+00
1.413000000e+08	1.611732537e+00
1.426000000e+08	1.614188392e+00
1.439000000e+08	1.689771739e+00
1.452000000e+08	1.780517575e+00
1.465000000e+08	1.904750745e+00
1.478000000e+08	2.067949293e+00
1.491000000e+08	2.257429127e+00
1.504000000e+08	2.463892566e+00
1.517000000e+08	2.682355676e+00
1.530000000e+08	2.914060810e+00
1.543000000e+08	3.159499690e+00
1.556000000e+08	3.408290918e+00
1.569000000e+08	3.638198859e+00
