eps_r	1.0	mu_r	1.0	sigma	0.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
1.000000000e+06	0.000000000e+00
4.330000000e+06	0.000000000e+00
7.660000000e+06	0.000000000e+00
1.099000000e+07	0.000000000e+00
1.432000000e+07	0.000000000e+00
1.765000000e+07	0.000000000e+00
2.098000000e+07	0.000000000e+00
2.431000000e+07	0.000000000e+00
2.764000000e+07	0.000000000e+00
3.097000000e+07	0.000000000e+00
3.430000000e+07	0.000000000e+00
3.763000000e+07	0.000000000e+00
4.096000000e+07	0.000000000e+00
4.429000000e+07	0.000000000e+00
4.762000000e+07	0.000000000e+00
5.095000000e+07	0.000000000e+00
5.428000000e+07	0.000000000e+00
5.761000000e+07	0.000000000e+00
6.094000000e+07	0.000000000e+00
6.427000000e+07	0.000000000e+00
6.760000000e+07	0.000000000e+00
7.093000000e+07	0.000000000e+00
7.426000000e+07	0.000000000e+00
7.759000000e+07	0.000000000e+00
8.092000000e+07	0.000000000e+00
8.425000000e+07	0.000000000e+00
8.758000000e+07	0.000000000e+00
9.091000000e+07	0.000000000e+00
9.424000000e+07	0.000000000e+00
9.757000000e+07	0.000000000e+00
1.009000000e+08	0.000000000e+00
1.042300000e+08	0.000000000e+00
1.075600000e+08	0.000000000e+00
1.108900000e+08	0.000000000e+00
1.142200000e+08	0.000000000e+00
1.175500000e+08	0.000000000e+00
1.208800000e+08	0.000000000e+00
1.242100000e+08	0.000000000e+00
1.275400000e+08	0.000000000e+00
1.308700000e+08	0.000000000e+00
1.342000000e+08	0.000000000e+00
1.375300000e+08	0.000000000e+00
1.408600000e+08	0.000000000e+00
1.441900000e+08	0.000000000e+00
1.475200000e+08	0.000000000e+00
1.508500000e+08	0.000000000e+00
1.541800000e+08	0.000000000e+00
1.575100000e+08	0.000000000e+00
1.608400000e+08	0.000000000e+00
1.641700000e+08	0.000000000e+00
1.675000000e+08	0.000000000e+00
1.708300000e+08	0.000000000e+00
1.741600000e+08	0.000000000e+00
1.774900000e+08	0.000000000e+00
1.808200000e+08	0.000000000e+00
1.841500000e+08	0.000000000e+00
1.874800000e+08	0.000000000e+00
1.908100000e+08	0.000000000e+00
1.941400000e+08	0.000000000e+00
1.974700000e+08	0.000000000e+00
2.008000000e+08	0.000000000e+00
2.041300000e+08	0.000000000e+00
2.074600000e+08	0.000000000e+00
2.107900000e+08	0.000000000e+00
2.141200000e+08	0.000000000e+00
2.174500000e+08	0.000000000e+00
2.207800000e+08	0.000000000e+00
2.241100000e+08	0.000000000e+00
2.274400000e+08	0.000000000e+00
2.307700000e+08	0.000000000e+00
2.341000000e+08	0.000000000e+00
2.374300000e+08	0.000000000e+00
2.407600000e+08	0.000000000e+00
2.440900000e+08	0.000000000e+00
2.474200000e+08	0.000000000e+00
2.507500000e+08	0.000000000e+00
2.540800000e+08	0.000000000e+00
2.574100000e+08	0.000000000e+00
2.607400000e+08	0.000000000e+00
2.640700000e+08	0.000000000e+00
2.674000000e+08	0.000000000e+00
2.707300000e+08	0.000000000e+00
2.740600000e+08	0.000000000e+00
2.773900000e+08	0.000000000e+00
2.807200000e+08	0.000000000e+00
2.840500000e+08	0.000000000e+00
2.873800000e+08	0.000000000e+00
2.907100000e+08	0.000000000e+00
2.940400000e+08	0.000000000e+00
2.973700000e+08	0.000000000e+00
3.007000000e+08	0.000000000e+00
3.040300000e+08	0.000000000e+00
3.073600000e+08	0.000000000e+00
3.106900000e+08	0.000000000e+00
3.140200000e+08	0.000000000e+00
3.173500000e+08	0.000000000e+00
3.206800000e+08	0.000000000e+00
3.240100000e+08	0.000000000e+00
3.273400000e+08	0.000000000e+00
3.306700000e+08	0.000000000e+00
3.340000000e+08	0.000000000e+00
3.373300000e+08	0.000000000e+00
3.406600000e+08	0.000000000e+00
3.439900000e+08	0.000000000e+00
3.473200000e+08	0.000000000e+00
3.506500000e+08	0.000000000e+00
