core_eps_r	1.0	core_mu_r	1	core_sigma	0.00e+00	shell_eps_r	4.0	shell_mu_r	1.0	shell_sigma	0.00e+00	core_radius	1.5	shell_width	0.0003	radius	1.5003
frequency(Hz)	RCS(m^2)
2.000000000e+09	7.254006822e+00
2.040000000e+09	2.647690016e+00
2.080000000e+09	6.434444401e+00
2.120000000e+09	1.081348069e+01
2.160000000e+09	1.198632409e+01
2.200000000e+09	7.668825838e+00
2.240000000e+09	2.957336450e+00
2.280000000e+09	6.594336380e+00
2.320000000e+09	1.304762437e+01
2.360000000e+09	1.387457017e+01
2.400000000e+09	5.040021985e+00
2.440000000e+09	1.667524474e+00
2.480000000e+09	6.221092347e+00
2.520000000e+09	1.584918872e+01
2.560000000e+09	2.111740142e+01
2.600000000e+09	1.118335314e+01
2.640000000e+09	8.534315496e+00
2.680000000e+09	1.371464981e+01
2.720000000e+09	1.874218581e+01
2.760000000e+09	2.219250726e+01
2.800000000e+09	1.539593887e+01
2.840000000e+09	1.282115401e+01
2.880000000e+09	2.129881291e+01
2.920000000e+09	2.452258942e+01
2.960000000e+09	1.979117022e+01
3.000000000e+09	8.842561288e+00
3.040000000e+09	8.345989099e+00
3.080000000e+09	2.093736174e+01
3.120000000e+09	3.100491951e+01
3.160000000e+09	2.659500750e+01
3.200000000e+09	1.196142633e+01
3.240000000e+09	7.923678984e+00
3.280000000e+09	1.252475050e+01
3.320000000e+09	1.721706546e+01
3.360000000e+09	1.690501275e+01
3.400000000e+09	6.948222251e+00
3.440000000e+09	7.324044242e+00
3.480000000e+09	1.167368079e+01
3.520000000e+09	1.159412526e+01
3.560000000e+09	9.004126475e+00
3.600000000e+09	4.602594179e+00
3.640000000e+09	9.579987027e+00
3.680000000e+09	2.207293952e+01
3.720000000e+09	2.346426867e+01
3.760000000e+09	1.335635008e+01
3.800000000e+09	3.809683568e+00
3.840000000e+09	5.345645080e+00
3.880000000e+09	1.454779282e+01
3.920000000e+09	2.322541322e+01
3.960000000e+09	1.885373511e+01
4.000000000e+09	6.925961278e+00
4.040000000e+09	9.664167220e+00
4.080000000e+09	1.942101009e+01
4.120000000e+09	2.576244600e+01
4.160000000e+09	2.437126436e+01
4.200000000e+09	1.395762890e+01
4.240000000e+09	1.472025686e+01
4.280000000e+09	2.000147119e+01
4.320000000e+09	2.041315089e+01
4.360000000e+09	1.737490401e+01
4.400000000e+09	8.344529404e+00
4.440000000e+09	8.745071826e+00
4.480000000e+09	1.686835550e+01
4.520000000e+09	1.786705482e+01
4.560000000e+09	1.229254290e+01
4.600000000e+09	4.225501354e+00
4.640000000e+09	1.047977569e+01
4.680000000e+09	1.371639519e+01
4.720000000e+09	1.541993105e+01
4.760000000e+09	2.306091586e+01
4.800000000e+09	1.447638860e+00
4.840000000e+09	2.142815688e+01
4.880000000e+09	1.831298035e+01
4.920000000e+09	1.035895759e+01
4.960000000e+09	9.296656466e+00
5.000000000e+09	1.272913867e+01
5.040000000e+09	5.895047232e+00
5.080000000e+09	1.203818962e+01
5.120000000e+09	1.553293327e+01
5.160000000e+09	2.302495054e+01
5.200000000e+09	4.131358679e-02
5.240000000e+09	1.324715606e+01
5.280000000e+09	4.961780225e+01
5.320000000e+09	3.807945954e+01
5.360000000e+09	1.842803012e+01
5.400000000e+09	8.911130785e+00
5.440000000e+09	1.163328680e+01
5.480000000e+09	3.870357132e+00
5.520000000e+09	3.348175809e-01
5.560000000e+09	1.356274416e+01
5.600000000e+09	1.284869269e+01
5.640000000e+09	4.253100027e-01
5.680000000e+09	1.936848485e+00
5.720000000e+09	1.053698124e+01
5.760000000e+09	1.113890699e+01
5.800000000e+09	3.988579591e+01
5.840000000e+09	6.388707002e+00
5.880000000e+09	3.248840400e+00
5.920000000e+09	1.255602496e+00
5.960000000e+09	1.562470734e+00
6.000000000e+09	3.046455238e+01
6.040000000e+09	1.175189059e+01
6.080000000e+09	3.130323356e+00
6.120000000e+09	1.257235257e+00
6.160000000e+09	6.435683742e+00
6.200000000e+09	9.377862952e-01
6.240000000e+09	1.358547805e+01
6.280000000e+09	4.788105108e+00
6.320000000e+09	8.336163930e+00
6.360000000e+09	4.491226398e+00
6.400000000e+09	2.930220742e+00
6.440000000e+09	3.615655940e+00
6.480000000e+09	4.244253152e+00
6.520000000e+09	8.264241131e+00
6.560000000e+09	1.011529656e+00
6.600000000e+09	1.930632658e+01
6.640000000e+09	5.514918167e+00
6.680000000e+09	8.939918934e-01
6.720000000e+09	1.419858319e+00
6.760000000e+09	6.458835849e+00
6.800000000e+09	2.269986299e+00
6.840000000e+09	1.742401952e+01
6.880000000e+09	2.693969040e+01
6.920000000e+09	4.670900383e+00
6.960000000e+09	1.640787096e+01
7.000000000e+09	1.595828839e+01
7.040000000e+09	4.313836233e+00
7.080000000e+09	1.352674206e+00
7.120000000e+09	4.046387168e+00
7.160000000e+09	8.114795659e+00
7.200000000e+09	2.190402788e+01
7.240000000e+09	5.409599080e+01
7.280000000e+09	2.907018194e+01
7.320000000e+09	9.081320809e+00
7.360000000e+09	2.520557741e+01
7.400000000e+09	1.649141658e+01
7.440000000e+09	2.298856157e+00
7.480000000e+09	4.553826569e+00
7.520000000e+09	2.689827672e+00
7.560000000e+09	1.159065461e+00
7.600000000e+09	1.194199420e+01
7.640000000e+09	2.773016723e+01
7.680000000e+09	2.118404063e+01
7.720000000e+09	9.816658617e+00
7.760000000e+09	2.758403447e+01
7.800000000e+09	2.866494022e+01
7.840000000e+09	8.043158568e+00
7.880000000e+09	6.228496062e+00
7.920000000e+09	5.466367637e+00
7.960000000e+09	1.690554060e+00
8.000000000e+09	1.790753375e+00
8.040000000e+09	9.920716514e-01
8.080000000e+09	3.606052563e+00
8.120000000e+09	3.290453595e+00
8.160000000e+09	1.753573348e+00
8.200000000e+09	1.663187571e+01
8.240000000e+09	2.160625180e+01
8.280000000e+09	3.746318373e+00
8.320000000e+09	1.597871011e+00
8.360000000e+09	4.755358614e+00
8.400000000e+09	1.381946129e+00
8.440000000e+09	6.711453195e-01
8.480000000e+09	1.306008514e-01
8.520000000e+09	9.900230181e-01
8.560000000e+09	2.334579258e+00
8.600000000e+09	7.879224109e-01
8.640000000e+09	1.224498927e+01
8.680000000e+09	2.161302447e+01
8.720000000e+09	6.020078445e+00
8.760000000e+09	5.234863536e+00
8.800000000e+09	2.698903025e+01
8.840000000e+09	2.209111141e+01
8.880000000e+09	3.200534348e+00
8.920000000e+09	2.631348748e+00
8.960000000e+09	5.984650767e+00
9.000000000e+09	2.988673389e+00
9.040000000e+09	1.337953288e-01
9.080000000e+09	4.479073113e-01
9.120000000e+09	2.698790922e-02
9.160000000e+09	2.558100422e-01
9.200000000e+09	1.653498725e-01
9.240000000e+09	7.385241688e+00
9.280000000e+09	1.475463290e+01
