freq(Hz)	1.50e+08	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	3.703792928e+01
1.050699884e-02	3.702376049e+01
2.101399768e-02	3.698130452e+01
3.152099652e-02	3.691071233e+01
4.202799537e-02	3.681223464e+01
5.253499421e-02	3.668622072e+01
6.304199305e-02	3.653311663e+01
7.354899189e-02	3.635346292e+01
8.405599073e-02	3.614789202e+01
9.456298957e-02	3.591712498e+01
1.050699884e-01	3.566196793e+01
1.155769873e-01	3.538330805e+01
1.260839861e-01	3.508210913e+01
1.365909849e-01	3.475940682e+01
1.470979838e-01	3.441630348e+01
1.576049826e-01	3.405396277e+01
1.681119815e-01	3.367360392e+01
1.786189803e-01	3.327649576e+01
1.891259791e-01	3.286395053e+01
1.996329780e-01	3.243731753e+01
2.101399768e-01	3.199797659e+01
2.206469757e-01	3.154733149e+01
2.311539745e-01	3.108680320e+01
2.416609734e-01	3.061782321e+01
2.521679722e-01	3.014182674e+01
2.626749710e-01	2.966024611e+01
2.731819699e-01	2.917450407e+01
2.836889687e-01	2.868600728e+01
2.941959676e-01	2.819614000e+01
3.047029664e-01	2.770625781e+01
3.152099652e-01	2.721768169e+01
3.257169641e-01	2.673169225e+01
3.362239629e-01	2.624952423e+01
3.467309618e-01	2.577236133e+01
3.572379606e-01	2.530133138e+01
3.677449595e-01	2.483750175e+01
3.782519583e-01	2.438187526e+01
3.887589571e-01	2.393538637e+01
3.992659560e-01	2.349889785e+01
4.097729548e-01	2.307319777e+01
4.202799537e-01	2.265899704e+01
4.307869525e-01	2.225692726e+01
4.412939513e-01	2.186753908e+01
4.518009502e-01	2.149130104e+01
4.623079490e-01	2.112859876e+01
4.728149479e-01	2.077973463e+01
4.833219467e-01	2.044492797e+01
4.938289455e-01	2.012431557e+01
5.043359444e-01	1.981795268e+01
5.148429432e-01	1.952581441e+01
5.253499421e-01	1.924779757e+01
5.358569409e-01	1.898372281e+01
5.463639398e-01	1.873333722e+01
5.568709386e-01	1.849631724e+01
5.673779374e-01	1.827227187e+01
5.778849363e-01	1.806074628e+01
5.883919351e-01	1.786122557e+01
5.988989340e-01	1.767313891e+01
6.094059328e-01	1.749586383e+01
6.199129316e-01	1.732873077e+01
6.304199305e-01	1.717102775e+01
6.409269293e-01	1.702200527e+01
6.514339282e-01	1.688088121e+01
6.619409270e-01	1.674684594e+01
6.724479259e-01	1.661906742e+01
6.829549247e-01	1.649669636e+01
6.934619235e-01	1.637887137e+01
7.039689224e-01	1.626472410e+01
7.144759212e-01	1.615338430e+01
7.249829201e-01	1.604398484e+01
7.354899189e-01	1.593566661e+01
7.459969177e-01	1.582758329e+01
7.565039166e-01	1.571890593e+01
7.670109154e-01	1.560882746e+01
7.775179143e-01	1.549656685e+01
7.880249131e-01	1.538137321e+01
7.985319119e-01	1.526252958e+01
8.090389108e-01	1.513935643e+01
8.195459096e-01	1.501121500e+01
8.300529085e-01	1.487751028e+01
8.405599073e-01	1.473769375e+01
8.510669062e-01	1.459126579e+01
8.615739050e-01	1.443777781e+01
8.720809038e-01	1.427683407e+01
8.825879027e-01	1.410809317e+01
8.930949015e-01	1.393126924e+01
9.036019004e-01	1.374613282e+01
9.141088992e-01	1.355251140e+01
9.246158980e-01	1.335028968e+01
9.351228969e-01	1.313940953e+01
9.456298957e-01	1.291986962e+01
9.561368946e-01	1.269172474e+01
9.666438934e-01	1.245508496e+01
9.771508923e-01	1.221011435e+01
9.876578911e-01	1.195702956e+01
9.981648899e-01	1.169609813e+01
1.008671889e+00	1.142763654e+01
1.019178888e+00	1.115200806e+01
1.029685886e+00	1.086962042e+01
1.040192885e+00	1.058092325e+01
1.050699884e+00	1.028640540e+01
1.061206883e+00	9.986592062e+00
1.071713882e+00	9.682041832e+00
1.082220881e+00	9.373343564e+00
1.092727880e+00	9.061113203e+00
1.103234878e+00	8.745990511e+00
1.113741877e+00	8.428635733e+00
1.124248876e+00	8.109726229e+00
1.134755875e+00	7.789953085e+00
1.145262874e+00	7.470017706e+00
1.155769873e+00	7.150628438e+00
1.166276871e+00	6.832497202e+00
1.176783870e+00	6.516336185e+00
1.187290869e+00	6.202854581e+00
1.197797868e+00	5.892755412e+00
1.208304867e+00	5.586732440e+00
1.218811866e+00	5.285467169e+00
1.229318864e+00	4.989625971e+00
1.239825863e+00	4.699857334e+00
1.250332862e+00	4.416789241e+00
1.260839861e+00	4.141026698e+00
1.271346860e+00	3.873149414e+00
1.281853859e+00	3.613709637e+00
1.292360857e+00	3.363230160e+00
1.302867856e+00	3.122202498e+00
1.313374855e+00	2.891085243e+00
1.323881854e+00	2.670302591e+00
1.334388853e+00	2.460243056e+00
1.344895852e+00	2.261258372e+00
1.355402851e+00	2.073662563e+00
1.365909849e+00	1.897731213e+00
1.376416848e+00	1.733700907e+00
1.386923847e+00	1.581768850e+00
1.397430846e+00	1.442092673e+00
1.407937845e+00	1.314790397e+00
1.418444844e+00	1.199940577e+00
1.428951842e+00	1.097582601e+00
1.439458841e+00	1.007717148e+00
1.449965840e+00	9.303068014e-01
1.460472839e+00	8.652767965e-01
1.470979838e+00	8.125159131e-01
1.481486837e+00	7.718774918e-01
1.491993835e+00	7.431805728e-01
1.502500834e+00	7.262111465e-01
1.513007833e+00	7.207235074e-01
1.523514832e+00	7.264417026e-01
1.534021831e+00	7.430610666e-01
1.544528830e+00	7.702498324e-01
1.555035829e+00	8.076508099e-01
1.565542827e+00	8.548831233e-01
1.576049826e+00	9.115439971e-01
1.586556825e+00	9.772105836e-01
1.597063824e+00	1.051441821e+00
1.607570823e+00	1.133780313e+00
1.618077822e+00	1.223754229e+00
1.628584820e+00	1.320879199e+00
1.639091819e+00	1.424660220e+00
1.649598818e+00	1.534593541e+00
1.660105817e+00	1.650168539e+00
1.670612816e+00	1.770869569e+00
1.681119815e+00	1.896177780e+00
1.691626813e+00	2.025572897e+00
1.702133812e+00	2.158534961e+00
1.712640811e+00	2.294546021e+00
1.723147810e+00	2.433091766e+00
1.733654809e+00	2.573663106e+00
1.744161808e+00	2.715757691e+00
1.754668807e+00	2.858881355e+00
1.765175805e+00	3.002549501e+00
1.775682804e+00	3.146288406e+00
1.786189803e+00	3.289636457e+00
1.796696802e+00	3.432145298e+00
1.807203801e+00	3.573380914e+00
1.817710800e+00	3.712924621e+00
1.828217798e+00	3.850373979e+00
1.838724797e+00	3.985343627e+00
1.849231796e+00	4.117466026e+00
1.859738795e+00	4.246392132e+00
1.870245794e+00	4.371791971e+00
1.880752793e+00	4.493355151e+00
1.891259791e+00	4.610791278e+00
1.901766790e+00	4.723830299e+00
1.912273789e+00	4.832222772e+00
1.922780788e+00	4.935740050e+00
1.933287787e+00	5.034174401e+00
1.943794786e+00	5.127339049e+00
1.954301785e+00	5.215068148e+00
1.964808783e+00	5.297216692e+00
1.975315782e+00	5.373660356e+00
1.985822781e+00	5.444295277e+00
1.996329780e+00	5.509037778e+00
2.006836779e+00	5.567824037e+00
2.017343778e+00	5.620609698e+00
2.027850776e+00	5.667369437e+00
2.038357775e+00	5.708096486e+00
2.048864774e+00	5.742802099e+00
2.059371773e+00	5.771515000e+00
2.069878772e+00	5.794280769e+00
2.080385771e+00	5.811161220e+00
2.090892769e+00	5.822233728e+00
2.101399768e+00	5.827590539e+00
2.111906767e+00	5.827338058e+00
2.122413766e+00	5.821596107e+00
2.132920765e+00	5.810497172e+00
2.143427764e+00	5.794185637e+00
2.153934762e+00	5.772816994e+00
2.164441761e+00	5.746557059e+00
2.174948760e+00	5.715581172e+00
2.185455759e+00	5.680073391e+00
2.195962758e+00	5.640225695e+00
2.206469757e+00	5.596237175e+00
2.216976756e+00	5.548313239e+00
2.227483754e+00	5.496664815e+00
2.237990753e+00	5.441507568e+00
2.248497752e+00	5.383061117e+00
2.259004751e+00	5.321548276e+00
2.269511750e+00	5.257194300e+00
2.280018749e+00	5.190226146e+00
2.290525747e+00	5.120871753e+00
2.301032746e+00	5.049359343e+00
2.311539745e+00	4.975916733e+00
2.322046744e+00	4.900770678e+00
2.332553743e+00	4.824146227e+00
2.343060742e+00	4.746266109e+00
2.353567740e+00	4.667350137e+00
2.364074739e+00	4.587614643e+00
2.374581738e+00	4.507271937e+00
2.385088737e+00	4.426529785e+00
2.395595736e+00	4.345590930e+00
2.406102735e+00	4.264652621e+00
2.416609734e+00	4.183906191e+00
2.427116732e+00	4.103536645e+00
2.437623731e+00	4.023722290e+00
2.448130730e+00	3.944634386e+00
2.458637729e+00	3.866436832e+00
2.469144728e+00	3.789285878e+00
2.479651727e+00	3.713329867e+00
2.490158725e+00	3.638709007e+00
2.500665724e+00	3.565555174e+00
2.511172723e+00	3.493991738e+00
2.521679722e+00	3.424133429e+00
2.532186721e+00	3.356086218e+00
2.542693720e+00	3.289947238e+00
2.553200718e+00	3.225804726e+00
2.563707717e+00	3.163737996e+00
2.574214716e+00	3.103817437e+00
2.584721715e+00	3.046104541e+00
2.595228714e+00	2.990651949e+00
2.605735713e+00	2.937503533e+00
2.616242712e+00	2.886694496e+00
2.626749710e+00	2.838251496e+00
2.637256709e+00	2.792192793e+00
2.647763708e+00	2.748528424e+00
2.658270707e+00	2.707260392e+00
2.668777706e+00	2.668382883e+00
2.679284705e+00	2.631882492e+00
2.689791703e+00	2.597738482e+00
2.700298702e+00	2.565923049e+00
2.710805701e+00	2.536401612e+00
2.721312700e+00	2.509133112e+00
2.731819699e+00	2.484070332e+00
2.742326698e+00	2.461160228e+00
2.752833696e+00	2.440344268e+00
2.763340695e+00	2.421558797e+00
2.773847694e+00	2.404735392e+00
2.784354693e+00	2.389801245e+00
2.794861692e+00	2.376679542e+00
2.805368691e+00	2.365289855e+00
2.815875690e+00	2.355548535e+00
2.826382688e+00	2.347369119e+00
2.836889687e+00	2.340662724e+00
2.847396686e+00	2.335338462e+00
2.857903685e+00	2.331303842e+00
2.868410684e+00	2.328465177e+00
2.878917683e+00	2.326727990e+00
2.889424681e+00	2.325997419e+00
2.899931680e+00	2.326178610e+00
2.910438679e+00	2.327177116e+00
2.920945678e+00	2.328899283e+00
2.931452677e+00	2.331252630e+00
2.941959676e+00	2.334146223e+00
2.952466674e+00	2.337491035e+00
2.962973673e+00	2.341200303e+00
2.973480672e+00	2.345189864e+00
2.983987671e+00	2.349378486e+00
2.994494670e+00	2.353688184e+00
3.005001669e+00	2.358044521e+00
3.015508667e+00	2.362376891e+00
3.026015666e+00	2.366618791e+00
3.036522665e+00	2.370708075e+00
3.047029664e+00	2.374587189e+00
3.057536663e+00	2.378203386e+00
3.068043662e+00	2.381508929e+00
3.078550661e+00	2.384461265e+00
3.089057659e+00	2.387023192e+00
3.099564658e+00	2.389162990e+00
3.110071657e+00	2.390854545e+00
3.120578656e+00	2.392077444e+00
3.131085655e+00	2.392817053e+00
3.141592654e+00	2.393064569e+00
