frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
1.000000000e+06	6.483270000e-06	4.045319327e-06	2.437950673e-06	3.760371962e-01	1
2.330000000e+06	1.604570000e-04	1.326630845e-04	2.779391549e-05	1.732172201e-01	1
3.660000000e+06	9.449820000e-04	8.405815517e-04	1.044004483e-04	1.104787693e-01	1
4.990000000e+06	3.204850000e-03	2.970095176e-03	2.347548245e-04	7.324986333e-02	1
6.320000000e+06	8.119020000e-03	7.755391118e-03	3.636288821e-04	4.478728740e-02	1
7.650000000e+06	1.718480000e-02	1.682291519e-02	3.618848147e-04	2.105842458e-02	1
8.980000000e+06	3.222980000e-02	3.218917042e-02	4.062958312e-05	1.260621634e-03	1
1.031000000e+07	5.546100000e-02	5.625594605e-02	7.949460483e-04	1.433342436e-02	1
1.164000000e+07	8.954350000e-02	9.180242857e-02	2.258928569e-03	2.522716410e-02	1
1.297000000e+07	1.376930000e-01	1.419731007e-01	4.280100713e-03	3.108437403e-02	1
1.430000000e+07	2.037430000e-01	2.102596532e-01	6.516653169e-03	3.198467269e-02	1
1.563000000e+07	2.921570000e-01	3.004742709e-01	8.317270851e-03	2.846849759e-02	1
1.696000000e+07	4.079430000e-01	4.167106003e-01	8.767600299e-03	2.149221901e-02	1
1.829000000e+07	5.564490000e-01	5.632874839e-01	6.838483881e-03	1.228950700e-02	1
1.962000000e+07	7.430560000e-01	7.446692406e-01	1.613240617e-03	2.171088878e-03	1
2.095000000e+07	9.727820000e-01	9.653550451e-01	7.426954937e-03	7.634757774e-03	1
2.228000000e+07	1.249860000e+00	1.229729083e+00	2.013091720e-02	1.610653770e-02	1
2.361000000e+07	1.577360000e+00	1.541863073e+00	3.549692717e-02	2.250401124e-02	1
2.494000000e+07	1.956900000e+00	1.905264044e+00	5.163595585e-02	2.638660936e-02	1
2.627000000e+07	2.388530000e+00	2.322563687e+00	6.596631268e-02	2.761795442e-02	1
2.760000000e+07	2.870730000e+00	2.795151977e+00	7.557802336e-02	2.632710961e-02	1
2.893000000e+07	3.400570000e+00	3.322767703e+00	7.780229728e-02	2.287919298e-02	1
3.026000000e+07	3.973950000e+00	3.903072141e+00	7.087785859e-02	1.783561912e-02	1
3.159000000e+07	4.585740000e+00	4.531248306e+00	5.449169372e-02	1.188285723e-02	1
3.292000000e+07	5.229880000e+00	5.199684482e+00	3.019551790e-02	5.773654060e-03	1
3.425000000e+07	5.899250000e+00	5.897812569e+00	1.437430586e-03	2.436632768e-04	1
3.558000000e+07	6.585460000e+00	6.612173356e+00	2.671335609e-02	4.056414600e-03	1
3.691000000e+07	7.278450000e+00	7.326766461e+00	4.831646078e-02	6.638289853e-03	1
3.824000000e+07	7.966100000e+00	8.023709304e+00	5.760930379e-02	7.231807759e-03	1
3.957000000e+07	8.634060000e+00	8.684179427e+00	5.011942668e-02	5.804850404e-03	1
4.090000000e+07	9.265830000e+00	9.289557158e+00	2.372715803e-02	2.560715881e-03	1
4.223000000e+07	9.843240000e+00	9.822636044e+00	2.060395599e-02	2.093208739e-03	1
4.356000000e+07	1.034740000e+01	1.026874266e+01	7.865734056e-02	7.601652643e-03	1
4.489000000e+07	1.076010000e+01	1.061661587e+01	1.434841270e-01	1.333483211e-02	1
4.622000000e+07	1.106530000e+01	1.085893813e+01	2.063618704e-01	1.864946006e-02	1
4.755000000e+07	1.125070000e+01	1.099247620e+01	2.582238020e-01	2.295179873e-02	1
4.888000000e+07	1.130890000e+01	1.101785759e+01	2.910424100e-01	2.573569578e-02	1
5.021000000e+07	1.123860000e+01	1.093906349e+01	2.995365125e-01	2.665247562e-02	1
5.154000000e+07	1.104440000e+01	1.076274843e+01	2.816515697e-01	2.550175380e-02	1
5.287000000e+07	1.073650000e+01	1.049749955e+01	2.390004500e-01	2.226055511e-02	1
5.420000000e+07	1.032960000e+01	1.015312987e+01	1.764701329e-01	1.708392706e-02	1
5.553000000e+07	9.841290000e+00	9.740070787e+00	1.012192135e-01	1.028515708e-02	1
5.686000000e+07	9.290520000e+00	9.268897786e+00	2.162221364e-02	2.327341595e-03	1
5.819000000e+07	8.695890000e+00	8.749996831e+00	5.410683116e-02	6.222115408e-03	1
5.952000000e+07	8.074400000e+00	8.193360270e+00	1.189602703e-01	1.473301674e-02	1
6.085000000e+07	7.440610000e+00	7.608490089e+00	1.678800892e-01	2.256267823e-02	1
6.218000000e+07	6.806260000e+00	7.004381927e+00	1.981219268e-01	2.910878026e-02	1
6.351000000e+07	6.180350000e+00	6.389563241e+00	2.092132415e-01	3.385135817e-02	1
6.484000000e+07	5.569510000e+00	5.772161505e+00	2.026515046e-01	3.638587679e-02	1
6.617000000e+07	4.978550000e+00	5.159981899e+00	1.814318988e-01	3.644271902e-02	1
6.750000000e+07	4.411040000e+00	4.560577813e+00	1.495378134e-01	3.390080647e-02	1
6.883000000e+07	3.869820000e+00	3.981301027e+00	1.114810268e-01	2.880780678e-02	1
7.016000000e+07	3.357390000e+00	3.429321756e+00	7.193175606e-02	2.142490329e-02	1
7.149000000e+07	2.876270000e+00	2.911611845e+00	3.534184524e-02	1.228738792e-02	1
7.282000000e+07	2.429250000e+00	2.434887453e+00	5.637452595e-03	2.320655591e-03	1
7.415000000e+07	2.019640000e+00	2.005510858e+00	1.412914231e-02	6.995871694e-03	1
7.548000000e+07	1.651510000e+00	1.629354548e+00	2.215545246e-02	1.341526994e-02	1
7.681000000e+07	1.329790000e+00	1.311634500e+00	1.815549964e-02	1.365290733e-02	1
7.814000000e+07	1.060330000e+00	1.056723347e+00	3.606653122e-03	3.401444005e-03	1
7.947000000e+07	8.496510000e-01	8.679574599e-01	1.830645986e-02	2.154585807e-02	1
8.080000000e+07	7.044490000e-01	7.474544933e-01	4.300549329e-02	6.104841272e-02	1
8.213000000e+07	6.308360000e-01	6.959589295e-01	6.512292947e-02	1.032327411e-01	1
8.346000000e+07	6.333550000e-01	7.127323679e-01	7.937736785e-02	1.253283985e-01	1
8.479000000e+07	7.139450000e-01	7.955024157e-01	8.155741566e-02	1.142348720e-01	1
8.612000000e+07	8.710500000e-01	9.404792671e-01	6.942926712e-02	7.970755654e-02	1
8.745000000e+07	1.099070000e+00	1.142442907e+00	4.337290672e-02	3.946327960e-02	1
8.878000000e+07	1.388340000e+00	1.394897162e+00	6.557161810e-03	4.723023042e-03	1
9.011000000e+07	1.725620000e+00	1.690280536e+00	3.533946448e-02	2.047928540e-02	1
9.144000000e+07	2.095240000e+00	2.020218790e+00	7.502120988e-02	3.580554489e-02	1
9.277000000e+07	2.480540000e+00	2.375801299e+00	1.047387010e-01	4.222415320e-02	1
9.410000000e+07	2.865510000e+00	2.747862534e+00	1.176474656e-01	4.105637936e-02	1
9.543000000e+07	3.236340000e+00	3.127251588e+00	1.090884115e-01	3.370733962e-02	1
9.676000000e+07	3.582590000e+00	3.505075873e+00	7.751412708e-02	2.163633770e-02	1
9.809000000e+07	3.897760000e+00	3.872909420e+00	2.485057994e-02	6.375605461e-03	1
9.942000000e+07	4.179330000e+00	4.222960797e+00	4.363079695e-02	1.043966304e-02	1
1.007500000e+08	4.428070000e+00	4.548199890e+00	1.201298897e-01	2.712917586e-02	1
1.020800000e+08	4.647030000e+00	4.842446268e+00	1.954162684e-01	4.205186289e-02	1
1.034100000e+08	4.840190000e+00	5.100424249e+00	2.602342493e-01	5.376529626e-02	1
1.047400000e+08	5.011110000e+00	5.317791089e+00	3.066810892e-01	6.120023093e-02	1
1.060700000e+08	5.161850000e+00	5.491145066e+00	3.292950660e-01	6.379400138e-02	1
1.074000000e+08	5.292180000e+00	5.618019724e+00	3.258397245e-01	6.157003814e-02	1
1.087300000e+08	5.399310000e+00	5.696869510e+00	2.975595104e-01	5.511065496e-02	1
1.100600000e+08	5.478060000e+00	5.727050618e+00	2.489906185e-01	4.545233504e-02	1
1.113900000e+08	5.521500000e+00	5.708799325e+00	1.872993246e-01	3.392181917e-02	1
1.127200000e+08	5.521880000e+00	5.643208541e+00	1.213285413e-01	2.197232487e-02	1
1.140500000e+08	5.471810000e+00	5.532201941e+00	6.039194081e-02	1.103692212e-02	1
1.153800000e+08	5.365480000e+00	5.378503843e+00	1.302384304e-02	2.427339780e-03	1
1.167100000e+08	5.199810000e+00	5.185602244e+00	1.420775631e-02	2.732360665e-03	1
1.180400000e+08	4.975330000e+00	4.957701914e+00	1.762808569e-02	3.543098787e-03	1
1.193700000e+08	4.696780000e+00	4.699664486e+00	2.884485513e-03	6.141410739e-04	1
1.207000000e+08	4.373140000e+00	4.416932840e+00	4.379284011e-02	1.001404943e-02	1
1.220300000e+08	4.017150000e+00	4.115437979e+00	9.828797947e-02	2.446709221e-02	1
1.233600000e+08	3.644330000e+00	3.801487730e+00	1.571577303e-01	4.312390213e-02	1
1.246900000e+08	3.271470000e+00	3.481638135e+00	2.101681348e-01	6.424272109e-02	1
1.260200000e+08	2.914910000e+00	3.162549979e+00	2.476399794e-01	8.495630377e-02	1
1.273500000e+08	2.588760000e+00	2.850834496e+00	2.620744957e-01	1.012355320e-01	1
1.286800000e+08	2.303340000e+00	2.552893635e+00	2.495536345e-01	1.083442455e-01	1
1.300100000e+08	2.064250000e+00	2.274761298e+00	2.105112983e-01	1.019795559e-01	1
1.313400000e+08	1.872050000e+00	2.021952381e+00	1.499023806e-01	8.007391929e-02	1
1.326700000e+08	1.722840000e+00	1.799326337e+00	7.648633691e-02	4.439549634e-02	1
1.340000000e+08	1.609610000e+00	1.610971289e+00	1.361289121e-03	8.457260582e-04	1
1.353300000e+08	1.523980000e+00	1.460113434e+00	6.386656555e-02	4.190774521e-02	1
1.366600000e+08	1.458310000e+00	1.349054919e+00	1.092550808e-01	7.491896837e-02	1
1.379900000e+08	1.407380000e+00	1.279141544e+00	1.282384563e-01	9.111857231e-02	1
1.393200000e+08	1.369690000e+00	1.250759880e+00	1.189301203e-01	8.682995442e-02	1
1.406500000e+08	1.347760000e+00	1.263361794e+00	8.439820607e-02	6.262109431e-02	1
1.419800000e+08	1.347600000e+00	1.315513115e+00	3.208688517e-02	2.381039267e-02	1
1.433100000e+08	1.377340000e+00	1.404962349e+00	2.762234907e-02	2.005485143e-02	1
1.446400000e+08	1.445350000e+00	1.528724962e+00	8.337496225e-02	5.768496368e-02	1
1.459700000e+08	1.558150000e+00	1.683178762e+00	1.250287622e-01	8.024180099e-02	1
1.473000000e+08	1.718660000e+00	1.864166282e+00	1.455062823e-01	8.466263383e-02	1
1.486300000e+08	1.925080000e+00	2.067100661e+00	1.420206606e-01	7.377390063e-02	1
1.499600000e+08	2.170590000e+00	2.287072239e+00	1.164822395e-01	5.366386073e-02	1
1.512900000e+08	2.443980000e+00	2.518953862e+00	7.497386195e-02	3.067695397e-02	1
1.526200000e+08	2.731010000e+00	2.757503540e+00	2.649353979e-02	9.701004314e-03	1
1.539500000e+08	3.016230000e+00	2.997463732e+00	1.876626777e-02	6.221762852e-03	1
1.552800000e+08	3.284990000e+00	3.233656879e+00	5.133312133e-02	1.562656852e-02	1
1.566100000e+08	3.525110000e+00	3.461077042e+00	6.403295778e-02	1.816481125e-02	1
1.579400000e+08	3.728130000e+00	3.674977554e+00	5.315244616e-02	1.425713325e-02	1
1.592700000e+08	3.889830000e+00	3.870954416e+00	1.887558427e-02	4.852547354e-03	1
1.606000000e+08	4.010090000e+00	4.045024964e+00	3.493496403e-02	8.711765579e-03	1
1.619300000e+08	4.092160000e+00	4.193700949e+00	1.015409491e-01	2.481353346e-02	1
1.632600000e+08	4.141590000e+00	4.314054820e+00	1.724648204e-01	4.164217617e-02	1
1.645900000e+08	4.164950000e+00	4.403777658e+00	2.388276585e-01	5.734226305e-02	1
