eps_r	5.0	mu_r	1.0	sigma	1.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
6.000000000e+07	7.522164401e+00
9.313333333e+07	2.458416947e+00
1.262666667e+08	2.620531640e+00
1.594000000e+08	3.709588517e+00
1.925333333e+08	1.343930840e+00
2.256666667e+08	3.369803519e+00
2.588000000e+08	1.805307692e+00
2.919333333e+08	2.285209337e+00
3.250666667e+08	2.494782919e+00
3.582000000e+08	1.636132590e+00
3.913333333e+08	2.532617759e+00
4.244666667e+08	1.720044413e+00
4.576000000e+08	2.068202106e+00
4.907333333e+08	2.044888777e+00
5.238666667e+08	1.681002031e+00
5.570000000e+08	2.112322093e+00
5.901333333e+08	1.645169813e+00
6.232666667e+08	1.889589557e+00
6.564000000e+08	1.789490141e+00
6.895333333e+08	1.647076863e+00
7.226666667e+08	1.842254454e+00
7.558000000e+08	1.572153079e+00
7.889333333e+08	1.733401105e+00
8.220666667e+08	1.620345366e+00
8.552000000e+08	1.580392263e+00
8.883333333e+08	1.650092106e+00
9.214666667e+08	1.500156133e+00
9.546000000e+08	1.596016053e+00
9.877333333e+08	1.497809993e+00
1.020866667e+09	1.499928529e+00
1.054000000e+09	1.506075456e+00
1.087133333e+09	1.428738953e+00
1.120266667e+09	1.476367042e+00
1.153400000e+09	1.402422610e+00
1.186533333e+09	1.415737436e+00
1.219666667e+09	1.394289166e+00
1.252800000e+09	1.358172897e+00
1.285933333e+09	1.373426689e+00
1.319066667e+09	1.323325374e+00
1.352200000e+09	1.333739763e+00
1.385333333e+09	1.304707478e+00
1.418466667e+09	1.289363895e+00
1.451600000e+09	1.285582074e+00
1.484733333e+09	1.254330389e+00
1.517866667e+09	1.257328561e+00
1.551000000e+09	1.230508633e+00
1.584133333e+09	1.223519120e+00
1.617266667e+09	1.210703283e+00
1.650400000e+09	1.192094132e+00
1.683533333e+09	1.188123177e+00
1.716666667e+09	1.167009598e+00
1.749800000e+09	1.161777992e+00
1.782933333e+09	1.146460334e+00
1.816066667e+09	1.135014440e+00
1.849200000e+09	1.126491268e+00
1.882333333e+09	1.111115810e+00
1.915466667e+09	1.104944899e+00
1.948600000e+09	1.090652349e+00
1.981733333e+09	1.082465798e+00
2.014866667e+09	1.071997015e+00
2.048000000e+09	1.060916035e+00
2.081133333e+09	1.053374888e+00
2.114266667e+09	1.041436407e+00
2.147400000e+09	1.034265342e+00
2.180533333e+09	1.023788206e+00
2.213666667e+09	1.015321567e+00
2.246800000e+09	1.006998567e+00
2.279933333e+09	9.974227533e-01
2.313066667e+09	9.903342412e-01
2.346200000e+09	9.808969609e-01
2.379333333e+09	9.737480675e-01
2.412466667e+09	9.654371026e-01
2.445600000e+09	9.576537074e-01
2.478733333e+09	9.505241374e-01
2.511866667e+09	9.424354704e-01
2.545000000e+09	9.358638034e-01
2.578133333e+09	9.281490270e-01
2.611266667e+09	9.215095874e-01
2.644400000e+09	9.145673361e-01
2.677533333e+09	9.076891374e-01
2.710666667e+09	9.014205382e-01
2.743800000e+09	8.945611056e-01
2.776933333e+09	8.885897488e-01
2.810066667e+09	8.821024621e-01
2.843200000e+09	8.761291378e-01
2.876333333e+09	8.701651749e-01
2.909466667e+09	8.641560522e-01
2.942600000e+09	8.586066539e-01
2.975733333e+09	8.527305671e-01
3.008866667e+09	8.473765801e-01
3.042000000e+09	8.418143280e-01
3.075133333e+09	8.365113680e-01
3.108266667e+09	8.313135616e-01
3.141400000e+09	8.260685935e-01
3.174533333e+09	8.211497658e-01
3.207666667e+09	8.160663580e-01
3.240800000e+09	8.112992900e-01
3.273933333e+09	8.064692943e-01
3.307066667e+09	8.017827906e-01
3.340200000e+09	7.972174381e-01
3.373333333e+09	7.926266279e-01
3.406466667e+09	7.882650339e-01
3.439600000e+09	7.838316156e-01
3.472733333e+09	7.795989002e-01
3.505866667e+09	7.753691576e-01
3.539000000e+09	7.712290549e-01
3.572133333e+09	7.671998515e-01
3.605266667e+09	7.631658725e-01
3.638400000e+09	7.592952170e-01
3.671533333e+09	7.554035565e-01
3.704666667e+09	7.516463357e-01
3.737800000e+09	7.479198720e-01
3.770933333e+09	7.442567723e-01
3.804066667e+09	7.406880033e-01
3.837200000e+09	7.371288769e-01
3.870333333e+09	7.336889935e-01
3.903466667e+09	7.302548142e-01
