eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
1.000000000e+07	5.411066150e-02
1.330000000e+07	1.682119712e-01
1.660000000e+07	4.045129759e-01
1.990000000e+07	8.247388209e-01
2.320000000e+07	1.495038556e+00
2.650000000e+07	2.473544675e+00
2.980000000e+07	3.788120900e+00
3.310000000e+07	5.404553513e+00
3.640000000e+07	7.196281273e+00
3.970000000e+07	8.941001160e+00
4.300000000e+07	1.036843028e+01
4.630000000e+07	1.124926110e+01
4.960000000e+07	1.147231582e+01
5.290000000e+07	1.106102585e+01
5.620000000e+07	1.013291968e+01
5.950000000e+07	8.843534621e+00
6.280000000e+07	7.347788911e+00
6.610000000e+07	5.785347558e+00
6.940000000e+07	4.280879383e+00
7.270000000e+07	2.948038196e+00
7.600000000e+07	1.889554476e+00
7.930000000e+07	1.190162039e+00
8.260000000e+07	9.033835621e-01
8.590000000e+07	1.037276001e+00
8.920000000e+07	1.546517135e+00
9.250000000e+07	2.336560845e+00
9.580000000e+07	3.280063888e+00
9.910000000e+07	4.239877439e+00
1.024000000e+08	5.090738599e+00
1.057000000e+08	5.734254122e+00
1.090000000e+08	6.106128592e+00
1.123000000e+08	6.177685795e+00
1.156000000e+08	5.954398303e+00
1.189000000e+08	5.473075921e+00
1.222000000e+08	4.797833740e+00
1.255000000e+08	4.013943422e+00
1.288000000e+08	3.218665993e+00
1.321000000e+08	2.509187963e+00
1.354000000e+08	1.969274854e+00
1.387000000e+08	1.657498065e+00
1.420000000e+08	1.599708374e+00
1.453000000e+08	1.787341941e+00
1.486000000e+08	2.181230412e+00
1.519000000e+08	2.719275620e+00
1.552000000e+08	3.325942472e+00
1.585000000e+08	3.921948848e+00
1.618000000e+08	4.433243116e+00
1.651000000e+08	4.798869504e+00
1.684000000e+08	4.977428652e+00
1.717000000e+08	4.951644478e+00
1.750000000e+08	4.730327631e+00
1.783000000e+08	4.347072279e+00
1.816000000e+08	3.855478267e+00
1.849000000e+08	3.321443836e+00
1.882000000e+08	2.813822694e+00
1.915000000e+08	2.395071495e+00
1.948000000e+08	2.113459814e+00
1.981000000e+08	1.997786088e+00
2.014000000e+08	2.054982365e+00
2.047000000e+08	2.270461872e+00
2.080000000e+08	2.610826945e+00
2.113000000e+08	3.028489522e+00
2.146000000e+08	3.467749938e+00
2.179000000e+08	3.871700774e+00
2.212000000e+08	4.189471701e+00
2.245000000e+08	4.382544356e+00
2.278000000e+08	4.429571051e+00
2.311000000e+08	4.328729377e+00
2.344000000e+08	4.097328272e+00
2.377000000e+08	3.768791225e+00
2.410000000e+08	3.387729642e+00
2.443000000e+08	3.003649982e+00
2.476000000e+08	2.664686215e+00
2.509000000e+08	2.411677000e+00
2.542000000e+08	2.273450441e+00
2.575000000e+08	2.263668361e+00
2.608000000e+08	2.379527018e+00
2.641000000e+08	2.602454879e+00
2.674000000e+08	2.900760011e+00
2.707000000e+08	3.233938722e+00
2.740000000e+08	3.558097250e+00
2.773000000e+08	3.831745202e+00
2.806000000e+08	4.021095798e+00
2.839000000e+08	4.104207136e+00
2.872000000e+08	4.073366313e+00
2.905000000e+08	3.935540819e+00
2.938000000e+08	3.711037708e+00
2.971000000e+08	3.430432035e+00
3.004000000e+08	3.130535731e+00
3.037000000e+08	2.849624509e+00
3.070000000e+08	2.622635996e+00
3.103000000e+08	2.476851433e+00
3.136000000e+08	2.428591648e+00
3.169000000e+08	2.481351846e+00
3.202000000e+08	2.625626003e+00
3.235000000e+08	2.840437739e+00
3.268000000e+08	3.096342480e+00
3.301000000e+08	3.359451201e+00
3.334000000e+08	3.595905134e+00
3.367000000e+08	3.776130554e+00
3.400000000e+08	3.878534975e+00
3.433000000e+08	3.891878750e+00
3.466000000e+08	3.816501123e+00
3.499000000e+08	3.663928873e+00
3.532000000e+08	3.455212431e+00
3.565000000e+08	3.218067337e+00
3.598000000e+08	2.983214960e+00
3.631000000e+08	2.780417859e+00
3.664000000e+08	2.634674641e+00
3.697000000e+08	2.563120764e+00
3.730000000e+08	2.573005180e+00
3.763000000e+08	2.661020343e+00
3.796000000e+08	2.813990357e+00
3.829000000e+08	3.010811120e+00
3.862000000e+08	3.225329119e+00
3.895000000e+08	3.429769711e+00
3.928000000e+08	3.598268804e+00
3.961000000e+08	3.710087321e+00
3.994000000e+08	3.752130525e+00
4.027000000e+08	3.720437157e+00
4.060000000e+08	3.620516523e+00
4.093000000e+08	3.466462977e+00
4.126000000e+08	3.278985263e+00
4.159000000e+08	3.082617671e+00
4.192000000e+08	2.902503521e+00
4.225000000e+08	2.761150750e+00
4.258000000e+08	2.675639113e+00
4.291000000e+08	2.655568141e+00
4.324000000e+08	2.702017610e+00
4.357000000e+08	2.807609330e+00
4.390000000e+08	2.957614363e+00
4.423000000e+08	3.131952105e+00
4.456000000e+08	3.307978178e+00
4.489000000e+08	3.463068431e+00
4.522000000e+08	3.577878903e+00
4.555000000e+08	3.638505470e+00
4.588000000e+08	3.638235770e+00
4.621000000e+08	3.578256917e+00
4.654000000e+08	3.467345667e+00
4.687000000e+08	3.320590406e+00
4.720000000e+08	3.157333981e+00
4.753000000e+08	2.998626335e+00
4.786000000e+08	2.864495820e+00
4.819000000e+08	2.771478068e+00
4.852000000e+08	2.730547808e+00
4.885000000e+08	2.745863830e+00
4.918000000e+08	2.814362701e+00
4.951000000e+08	2.926291937e+00
4.984000000e+08	3.066531500e+00
5.017000000e+08	3.216623328e+00
5.050000000e+08	3.357309426e+00
5.083000000e+08	3.470718750e+00
5.116000000e+08	3.542907532e+00
5.149000000e+08	3.565405549e+00
5.182000000e+08	3.536245305e+00
5.215000000e+08	3.460057169e+00
5.248000000e+08	3.347358041e+00
5.281000000e+08	3.213110601e+00
5.314000000e+08	3.074736742e+00
5.347000000e+08	2.949861825e+00
5.380000000e+08	2.854102387e+00
5.413000000e+08	2.799079545e+00
5.446000000e+08	2.791036405e+00
5.479000000e+08	2.830151239e+00
5.512000000e+08	2.910571931e+00
5.545000000e+08	3.021303957e+00
5.578000000e+08	3.147689786e+00
5.611000000e+08	3.273335251e+00
5.644000000e+08	3.382240773e+00
5.677000000e+08	3.460817729e+00
5.710000000e+08	3.499573651e+00
5.743000000e+08	3.494240787e+00
5.776000000e+08	3.446227247e+00
5.809000000e+08	3.362331296e+00
5.842000000e+08	3.253799524e+00
5.875000000e+08	3.134817615e+00
5.908000000e+08	3.020679864e+00
5.941000000e+08	2.925738680e+00
5.974000000e+08	2.861832514e+00
6.007000000e+08	2.836469065e+00
6.040000000e+08	2.852229837e+00
6.073000000e+08	2.906400926e+00
6.106000000e+08	2.991448752e+00
6.139000000e+08	3.095979907e+00
6.172000000e+08	3.206404162e+00
6.205000000e+08	3.308551552e+00
6.238000000e+08	3.389558561e+00
6.271000000e+08	3.439446962e+00
6.304000000e+08	3.452355015e+00
6.337000000e+08	3.427211747e+00
6.370000000e+08	3.367798418e+00
6.403000000e+08	3.282193508e+00
6.436000000e+08	3.181702118e+00
6.469000000e+08	3.079243342e+00
6.502000000e+08	2.987932919e+00
6.535000000e+08	2.919149488e+00
6.568000000e+08	2.881293954e+00
6.601000000e+08	2.878636779e+00
6.634000000e+08	2.910950889e+00
6.667000000e+08	2.973593021e+00
6.700000000e+08	3.058085257e+00
6.733000000e+08	3.153354152e+00
6.766000000e+08	3.247111993e+00
6.799000000e+08	3.327446288e+00
6.832000000e+08	3.384346061e+00
6.865000000e+08	3.410913827e+00
6.898000000e+08	3.404216724e+00
6.931000000e+08	3.365587944e+00
6.964000000e+08	3.300426866e+00
6.997000000e+08	3.217377778e+00
7.030000000e+08	3.127247350e+00
7.063000000e+08	3.041595449e+00
7.096000000e+08	2.971211685e+00
7.129000000e+08	2.924797095e+00
7.162000000e+08	2.907876767e+00
7.195000000e+08	2.922154654e+00
7.228000000e+08	2.965341263e+00
7.261000000e+08	3.031518422e+00
7.294000000e+08	3.111931795e+00
7.327000000e+08	3.196149404e+00
7.360000000e+08	3.273410258e+00
7.393000000e+08	3.333959010e+00
7.426000000e+08	3.370360533e+00
7.459000000e+08	3.378343193e+00
7.492000000e+08	3.357254881e+00
7.525000000e+08	3.310198539e+00
7.558000000e+08	3.243511291e+00
7.591000000e+08	3.165922622e+00
7.624000000e+08	3.087453143e+00
7.657000000e+08	3.018042722e+00
7.690000000e+08	2.966376793e+00
7.723000000e+08	2.938747653e+00
7.756000000e+08	2.938330292e+00
7.789000000e+08	2.964781378e+00
7.822000000e+08	3.014357955e+00
7.855000000e+08	3.080434692e+00
7.888000000e+08	3.154380941e+00
7.921000000e+08	3.226685854e+00
7.954000000e+08	3.288191537e+00
7.987000000e+08	3.331222902e+00
8.020000000e+08	3.350560700e+00
8.053000000e+08	3.344070326e+00
8.086000000e+08	3.312922072e+00
8.119000000e+08	3.261393044e+00
8.152000000e+08	3.196304034e+00
8.185000000e+08	3.126071863e+00
8.218000000e+08	3.059689572e+00
8.251000000e+08	3.005504717e+00
8.284000000e+08	2.970248585e+00
8.317000000e+08	2.958122283e+00
8.350000000e+08	2.970349612e+00
8.383000000e+08	3.005046250e+00
8.416000000e+08	3.057506125e+00
8.449000000e+08	3.120806587e+00
8.482000000e+08	3.186790688e+00
8.515000000e+08	3.247034110e+00
8.548000000e+08	3.293949180e+00
8.581000000e+08	3.321763526e+00
8.614000000e+08	3.327187198e+00
8.647000000e+08	3.309817632e+00
8.680000000e+08	3.272147532e+00
8.713000000e+08	3.219217532e+00
8.746000000e+08	3.157932736e+00
8.779000000e+08	3.096165056e+00
8.812000000e+08	3.041759851e+00
8.845000000e+08	3.001522784e+00
8.878000000e+08	2.980363516e+00
8.911000000e+08	2.980722917e+00
8.944000000e+08	3.002253072e+00
8.977000000e+08	3.041979093e+00
9.010000000e+08	3.094603628e+00
9.043000000e+08	3.153281395e+00
9.076000000e+08	3.210477305e+00
9.109000000e+08	3.258999319e+00
9.142000000e+08	3.292739204e+00
9.175000000e+08	3.307618706e+00
9.208000000e+08	3.301981508e+00
9.241000000e+08	3.276782506e+00
9.274000000e+08	3.235475848e+00
9.307000000e+08	3.183493310e+00
9.340000000e+08	3.127543354e+00
9.373000000e+08	3.074775346e+00
9.406000000e+08	3.031837193e+00
9.439000000e+08	3.004038459e+00
9.472000000e+08	2.994730306e+00
9.505000000e+08	3.004854059e+00
9.538000000e+08	3.032876290e+00
9.571000000e+08	3.075028540e+00
9.604000000e+08	3.125790111e+00
9.637000000e+08	3.178590106e+00
9.670000000e+08	3.226755906e+00
9.703000000e+08	3.264189237e+00
9.736000000e+08	3.286277845e+00
9.769000000e+08	3.290406380e+00
9.802000000e+08	3.276296483e+00
9.835000000e+08	3.245858155e+00
9.868000000e+08	3.203209822e+00
9.901000000e+08	3.153906705e+00
9.934000000e+08	3.104269857e+00
9.967000000e+08	3.060575485e+00
1.000000000e+09	3.028293971e+00
